User ID,Username,First Name,Last Name,Phone Number
7756443841,No Username,Trinity (Northern CO State Rep),,No Phone
6355302185,goodessmoon,goddessmoon,TX REP,No Phone
1607603388,sarohx,Sar (Cybersecurity) [OH],,No Phone
8119762797,Zamb0n1,Zamboni🐈‍⬛,(MN State Rep),No Phone
7830736244,megsummerz,Meg (KS Mod),,No Phone
6655089222,humanityneverrests,A (CA-S Rep),,No Phone
8170895201,Red_Rosa25,Red Rosa,,No Phone
2127189001,LynkTrax,Lynk,Trax [Security],No Phone
6737545499,KratosVIAdmin,Kratos (Admin+TXRep),,No Phone
5184199995,b4oz1,Sonnet,(NV Rep + Media),No Phone
1037702984,WhiteDove_DMV,R_DMV (Admin | DC Rep),,No Phone
6590383118,No Username,Bunny (Tx. State Rep.),TX. Rep,No Phone
7221531292,KittyHawk8,Kitty,Hawk (GA Rep),No Phone
6636156866,las_150,Lass,,No Phone
6389667644,DatMushroomGirl,DatMushroomGirl,(Ohio State Rep),No Phone
7806653417,xandoru_vi,Xandoru (Admin | MI Rep),,No Phone
7591663718,nagaems,Nagaem (Arizona Rep),,No Phone
7965745222,No Username,Caustic,Fire (admin),No Phone
7153572834,DreamerAlterity,Dreamer Alterity,(Admin: Internal Comms) [Security] (OH State Rep),No Phone
7587853102,jink_keys,jink_keys (CA-N Rep),,No Phone
2107831990,Alleyqat,A,C,No Phone
6877126453,No Username,Kit,,No Phone
7082276634,M_MCali,M(California's state rep),,No Phone
7281748028,tabcat03,Tab (AL state rep),,No Phone
8154157823,maybeitsmayday,"Mayday (Admin, Head of Media/PR)",,No Phone
6362020737,spade49204,Spade,,No Phone
8098373506,TheGirlWhoLovesBooks,Harley (FL Rep),,No Phone
7291660853,delphi765,artemis (NJ state rep),,No Phone
6591792412,No Username,Travis,,No Phone
7351408422,killerr_kayy,KK (KS State Rep),,No Phone
6585700531,lombaybay,Nicole (CT state rep& Data & social media manager ),L,No Phone
7837652315,wetranscend,Ej Marcin,Admin/Elections and Political Lead,No Phone
6404214401,cosmicalien0,Cosmic,Alien (Admin),No Phone
7345058226,laebel_v1,Jay,(VI Admin: Technology and Logistics),No Phone
6548238953,No Username,Nocturnal,,No Phone
8109066876,raceli_v,Raceli,V (Admin),No Phone
5926072444,madgabbin,Wanderer,,No Phone
